"id","health","profession","city","person"
"1","10000","Boss","20","11"
"2","22000","Boss","25","12"
"3","28000","Boss","11","13"
"4","35500","Boss","3","14"
"5","50000","Boss","18","15"
"6","250","Blacksmith","1","16"
"7","250","Apothecary","1","17"
"8","250","Tailor","1","18"
"9","250","Innkeeper","1","19"
"10","250","Craftsman","1","20"
"11","250","Pet Trainer","1","21"
"12","250","Elder","1","22"
"13","250","Blacksmith","2","23"
"14","250","Apothecary","2","24"
"15","250","Tailor","2","25"
"16","250","Innkeeper","2","26"
"17","250","Craftsman","2","27"
"18","250","Pet Trainer","2","28"
"19","250","Elder","2","29"
"20","250","Blacksmith","3","30"
"21","250","Apothecary","3","31"
"22","250","Tailor","3","32"
"23","250","Innkeeper","3","33"
"24","250","Craftsman","3","34"
"25","250","Pet Trainer","3","35"
"26","250","Elder","3","36"
"27","250","Blacksmith","4","37"
"28","250","Apothecary","4","38"
"29","250","Tailor","4","39"
"30","250","Innkeeper","4","40"
"31","250","Craftsman","4","41"
"32","250","Pet Trainer","4","42"
"33","250","Elder","4","43"
"34","250","Blacksmith","5","44"
"35","250","Apothecary","5","45"
"36","250","Tailor","5","46"
"37","250","Innkeeper","5","47"
"38","250","Craftsman","5","48"
"39","250","Pet Trainer","5","49"
"40","250","Elder","5","50"
"41","250","Blacksmith","6","51"
"42","250","Apothecary","6","52"
"43","250","Tailor","6","53"
"44","250","Innkeeper","6","54"
"45","250","Craftsman","6","55"
"46","250","Pet Trainer","6","56"
"47","250","Elder","6","57"
"48","250","Blacksmith","7","58"
"49","250","Apothecary","7","59"
"50","250","Tailor","7","60"
"51","250","Innkeeper","7","61"
"52","250","Craftsman","7","62"
"53","250","Pet Trainer","7","63"
"54","250","Elder","7","64"
"55","250","Blacksmith","8","65"
"56","250","Apothecary","8","66"
"57","250","Tailor","8","67"
"58","250","Innkeeper","8","68"
"59","250","Craftsman","8","69"
"60","250","Pet Trainer","8","70"
"61","250","Elder","8","71"
"62","250","Blacksmith","9","72"
"63","250","Apothecary","9","73"
"64","250","Tailor","9","74"
"65","250","Innkeeper","9","75"
"66","250","Craftsman","9","76"
"67","250","Pet Trainer","9","77"
"68","250","Elder","9","78"
"69","250","Blacksmith","10","79"
"70","250","Apothecary","10","80"
"71","250","Tailor","10","81"
"72","250","Innkeeper","10","82"
"73","250","Craftsman","10","83"
"74","250","Pet Trainer","10","84"
"75","250","Elder","10","85"
"76","250","Blacksmith","11","86"
"77","250","Apothecary","11","87"
"78","250","Tailor","11","88"
"79","250","Innkeeper","11","89"
"80","250","Craftsman","11","90"
"81","250","Pet Trainer","11","91"
"82","250","Elder","11","92"
"83","250","Blacksmith","12","93"
"84","250","Apothecary","12","94"
"85","250","Tailor","12","95"
"86","250","Innkeeper","12","96"
"87","250","Craftsman","12","97"
"88","250","Pet Trainer","12","98"
"89","250","Elder","12","99"
"90","250","Blacksmith","13","100"
"91","250","Apothecary","13","101"
"92","250","Tailor","13","102"
"93","250","Innkeeper","13","103"
"94","250","Craftsman","13","104"
"95","250","Pet Trainer","13","105"
"96","250","Elder","13","106"
"97","250","Blacksmith","14","107"
"98","250","Apothecary","14","108"
"99","250","Tailor","14","109"
"100","250","Innkeeper","14","110"
"101","250","Craftsman","14","111"
"102","250","Pet Trainer","14","112"
"103","250","Elder","14","113"
"104","250","Blacksmith","15","114"
"105","250","Apothecary","15","115"
"106","250","Tailor","15","116"
"107","250","Innkeeper","15","117"
"108","250","Craftsman","15","118"
"109","250","Pet Trainer","15","119"
"110","250","Elder","15","120"
"111","250","Blacksmith","16","121"
"112","250","Apothecary","16","122"
"113","250","Tailor","16","123"
"114","250","Innkeeper","16","124"
"115","250","Craftsman","16","125"
"116","250","Pet Trainer","16","126"
"117","250","Elder","16","127"
"118","250","Blacksmith","17","128"
"119","250","Apothecary","17","129"
"120","250","Tailor","17","130"
"121","250","Innkeeper","17","131"
"122","250","Craftsman","17","132"
"123","250","Pet Trainer","17","133"
"124","250","Elder","17","134"
"125","250","Blacksmith","18","135"
"126","250","Apothecary","18","136"
"127","250","Tailor","18","137"
"128","250","Innkeeper","18","138"
"129","250","Craftsman","18","139"
"130","250","Pet Trainer","18","140"
"131","250","Elder","18","141"
"132","250","Blacksmith","19","142"
"133","250","Apothecary","19","143"
"134","250","Tailor","19","144"
"135","250","Innkeeper","19","145"
"136","250","Craftsman","19","146"
"137","250","Pet Trainer","19","147"
"138","250","Elder","19","148"
"139","250","Blacksmith","20","149"
"140","250","Apothecary","20","150"
"141","250","Tailor","20","151"
"142","250","Innkeeper","20","152"
"143","250","Craftsman","20","153"
"144","250","Pet Trainer","20","154"
"145","250","Elder","20","155"
"146","250","Blacksmith","21","156"
"147","250","Apothecary","21","157"
"148","250","Tailor","21","158"
"149","250","Innkeeper","21","159"
"150","250","Craftsman","21","160"
"151","250","Pet Trainer","21","161"
"152","250","Elder","21","162"
"153","250","Blacksmith","22","163"
"154","250","Apothecary","22","164"
"155","250","Tailor","22","165"
"156","250","Innkeeper","22","166"
"157","250","Craftsman","22","167"
"158","250","Pet Trainer","22","168"
"159","250","Elder","22","169"
"160","250","Blacksmith","23","170"
"161","250","Apothecary","23","171"
"162","250","Tailor","23","172"
"163","250","Innkeeper","23","173"
"164","250","Craftsman","23","174"
"165","250","Pet Trainer","23","175"
"166","250","Elder","23","176"
"167","250","Blacksmith","24","177"
"168","250","Apothecary","24","178"
"169","250","Tailor","24","179"
"170","250","Innkeeper","24","180"
"171","250","Craftsman","24","181"
"172","250","Pet Trainer","24","182"
"173","250","Elder","24","183"
"174","250","Blacksmith","25","184"
"175","250","Apothecary","25","185"
"176","250","Tailor","25","186"
"177","250","Innkeeper","25","187"
"178","250","Craftsman","25","188"
"179","250","Pet Trainer","25","189"
"180","250","Elder","25","190"
"181","250","Blacksmith","26","191"
"182","250","Apothecary","26","192"
"183","250","Tailor","26","193"
"184","250","Innkeeper","26","194"
"185","250","Craftsman","26","195"
"186","250","Pet Trainer","26","196"
"187","250","Elder","26","197"
"188","250","Blacksmith","27","198"
"189","250","Apothecary","27","199"
"190","250","Tailor","27","200"
"191","250","Innkeeper","27","201"
"192","250","Craftsman","27","202"
"193","250","Pet Trainer","27","203"
"194","250","Elder","27","204"
